Age       Quantity
------------------
0           119046
1           119595
2           119727
3           119696
4           119570
5           119390
6           119142
7           118904
8           118674
9           118458
10          118225
11          118022
12          117858
13          117726
14          117647
15          117686
16          117832
17          118216
18          118872
19          119403
20          120229
21          121295
22          122702
23          124442
24          126364
25          128212
26          129846
27          131178
28          132108
29          132707
30          133005
31          133024
32          132818
33          132424
34          131923
35          131339
36          130731
37          130138
38          129495
39          129204
40          128647
41          128054
42          127515
43          126876
44          126078
45          125497
46          125493
47          123859
48          120973
49          117002
50          116001
51          113835
52          114109
53          114332
54          117690
55          123617
56          130213
57          133654
58          137313
59          138160
60          138120
61          131215
62          127488
63          120693
64          117650
65          114012
66          109269
67          106430
68          105919
69          105086
70          105886
71          103218
72           99036
73           99106
74           98975
75          100795
76          103017
77           99899
78           98613
79           96396
80           90418
81           85941
82           85692
83           85784
84           81584
85           76098
86           69948
87           58919
88           50058
89           42400
90           35564
91           30002
92           24442
93           19725
94           15342
95           11513
96            8290
97            6058
98            4171
99            2787
100           1913
101           1275
102            816
103            489
104            281
105            297
------------------
